host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
14942,Joyce,other neighborhoods,wallingford,47.65444,-122.33629,Entire home/apt,99.0,30,160,2023-08-05,0.88,2,147,1
30559,Angielena,other neighborhoods,georgetown,47.55017,-122.31937,Private room,76.0,2,196,2024-06-09,1.16,10,337,15
31481,Cassie,west seattle,fairmount park,47.55495,-122.38663,Entire home/apt,189.0,3,97,2024-06-16,0.64,2,133,23
31481,Cassie,west seattle,fairmount park,47.55627,-122.38607,Entire home/apt,125.0,2,77,2023-12-27,0.51,2,1,2
14942,Joyce,other neighborhoods,wallingford,47.65608,-122.33602,Entire home/apt,0.0,30,96,2020-09-28,0.61,2,16,0
102684,Amanda,ballard,whittier heights,47.67947,-122.37196,Entire home/apt,94.0,2,1056,2024-06-11,6.12,1,96,61
160789,Darrell,ballard,sunset hill,47.68897,-122.39424,Entire home/apt,212.459747172322,3,6,2023-08-26,0.06,2,92,2
601600,Hal,other neighborhoods,fremont,47.65244,-122.35108,Entire home/apt,109.0,3,554,2024-06-16,3.49,2,314,28
601266,Tim And Pam,other neighborhoods,phinney ridge,47.67757,-122.36172,Entire home/apt,275.0,30,34,2024-02-06,0.28,1,173,4
2438665,Flor,other neighborhoods,crown hill,47.70085,-122.367,Private room,52.0,30,76,2023-08-12,0.62,4,43,1
209571,Cheryl,magnolia,lawton park,47.66133,-122.40088,Private room,67.0,1,377,2024-04-28,2.45,1,235,46
30559,Angielena,other neighborhoods,georgetown,47.54971,-122.31753,Private room,69.0,2,278,2024-06-21,1.81,10,334,28
1201633,Wayne,west seattle,alki,47.57884,-122.41071,Entire home/apt,270.0,3,24,2024-05-27,0.33,1,203,11
956883,Maija,queen anne,north queen anne,47.6411,-122.37446,Entire home/apt,315.0,2,147,2024-06-09,1.15,3,324,18
956883,Maija,queen anne,west queen anne,47.63626,-122.37083,Entire home/apt,124.0,2,363,2024-06-19,2.36,3,77,24
